 ,Label,Mean,Slice
68,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t17,3.75,17
69,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t18,31.95,18
70,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t18,46.71,18
71,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t18,38.52,18
72,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t18,3.62,18
73,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t19,31.68,19
74,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t19,46.00,19
75,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t19,38.08,19
76,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t19,3.65,19
77,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t20,31.37,20
78,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t20,45.44,20
79,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t20,37.59,20
80,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t20,3.55,20
81,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t1,33.62,21
82,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t1,46.06,21
83,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t1,39.07,21
84,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t1,4.50,21
85,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t2,34.47,22
86,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t2,46.71,22
87,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t2,39.84,22
88,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t2,4.66,22
89,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t3,35.55,23
90,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t3,47.77,23
91,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t3,40.66,23
92,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t3,4.81,23
93,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t4,37.03,24
94,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t4,49.02,24
95,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t4,41.66,24
96,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t4,4.98,24
97,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t5,38.24,25
98,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t5,50.20,25
99,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t5,42.60,25
100,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t5,5.22,25
101,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t6,39.57,26
102,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t6,51.90,26
103,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t6,43.69,26
104,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t6,5.46,26
105,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t7,41.07,27
106,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t7,52.88,27
107,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t7,44.65,27
108,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t7,5.46,27
109,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t8,42.25,28
110,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t8,54.22,28
111,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t8,45.61,28
112,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t8,5.67,28
113,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t9,43.72,29
114,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t9,55.32,29
115,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t9,46.52,29
116,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t9,5.98,29
117,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t10,44.42,30
118,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t10,56.01,30
119,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t10,46.81,30
120,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t10,6.05,30
121,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t11,45.81,31
122,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t11,57.57,31
123,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t11,48.08,31
124,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t11,6.24,31
125,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t12,46.78,32
126,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t12,58.66,32
127,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t12,48.86,32
128,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t12,6.30,32
129,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t13,47.88,33
130,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t13,59.91,33
131,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t13,49.69,33
132,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t13,6.57,33
133,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t14,48.85,34
134,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t14,60.49,34
135,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t14,50.29,34
136,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t14,6.62,34
137,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t15,49.70,35
138,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t15,61.77,35
139,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t15,51.18,35
140,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t15,6.65,35
141,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t16,50.69,36
142,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t16,62.46,36
143,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t16,51.78,36
144,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t16,6.98,36
145,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t17,51.30,37
146,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t17,63.49,37
147,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t17,52.33,37
148,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t17,7.07,37
149,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t18,52.23,38
150,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t18,64.01,38
151,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t18,53.02,38
152,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t18,7.29,38
153,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t19,52.83,39
154,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t19,65.08,39
155,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t19,53.71,39
156,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t19,7.50,39
157,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t20,53.60,40
158,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t20,66.06,40
159,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t20,54.41,40
160,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t20,7.50,40
161,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t21,54.49,41
162,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t21,66.98,41
163,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t21,54.84,41
164,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t21,7.73,41
165,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t22,55.21,42
166,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t22,67.86,42
167,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t22,55.66,42
168,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t22,7.81,42
169,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t23,55.95,43
170,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t23,68.67,43
171,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t23,56.38,43
172,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t23,7.92,43
173,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t24,56.90,44
174,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t24,69.48,44
175,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t24,57.02,44
176,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t24,7.93,44
177,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t25,56.92,45
178,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t25,69.58,45
179,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t25,57.15,45
180,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t25,7.95,45
181,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t26,57.86,46
182,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t26,70.34,46
183,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t26,57.97,46
184,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t26,8.23,46
185,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t27,58.70,47
186,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t27,71.59,47
187,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t27,58.87,47
188,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t27,8.37,47
189,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t28,59.12,48
190,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t28,72.15,48
191,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t28,59.28,48
192,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t28,8.45,48
193,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t29,59.94,49
194,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t29,72.93,49
195,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t29,60.03,49
196,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t29,8.65,49
197,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t30,60.52,50
