"","Sample","Mean_YFP","Slice","Mean_CFP","norm_YFP","norm_CFP","ratio","Time","id"
"1","Cell-01",134.96,1,12.31,0.990881191171936,1.03375881760161,0.958522601500846,2,"1"
"2","Cell-02",158.22,1,14.04,1.00523520292765,1.02526654009055,0.980462312599089,2,"1"
"3","Cell-03",177.44,1,16.08,1.00247454831019,1.02290076335878,0.980031088273393,2,"1"
"4","Cell-04",206.63,1,18.39,1.00028077377379,1.02508361204013,0.975804082735283,2,"1"
"5","Cell-01",136.09,2,12.23,0.999177691957534,1.02704064494458,0.97287064234099,4,"1"
"6","Cell-02",157.61,2,13.9,1.0013596279448,1.01504308456258,0.986519334178138,4,"1"
"7","Cell-03",177.46,2,15.95,1.00258754138371,1.014631043257,0.988130166178807,4,"1"
"8","Cell-04",206.78,2,18.23,1.00100691284395,1.01616499442586,0.985083050818454,4,"1"
"9","Cell-01",136.41,3,11.78,1.00152714350744,0.98925092374874,1.01240961162025,6,"1"
"10","Cell-02",157.98,3,13.56,1.00371038654095,0.990214692566087,1.01362905850235,6,"1"
"11","Cell-03",176.49,3,15.58,0.99710737731777,0.991094147582697,1.00606726389187,6,"1"
"12","Cell-04",206.68,3,17.79,1.00052282013051,0.991638795986622,1.00895893159873,6,"1"
"13","Cell-01",136.91,4,11.6,1.00519816155416,0.974135035270406,1.0318879058437,8,"1"
"14","Cell-02",157.25,4,13.47,0.999072403364762,0.98364247115525,1.01568652499458,8,"1"
"15","Cell-03",176.72,4,15.54,0.998406797663303,0.988549618320611,1.00997135516519,8,"1"
"16","Cell-04",207.13,4,17.7,1.00270123734098,0.986622073578595,1.01629718632187,8,"1"
"17","Cell-01",136.64,5,11.62,1.00321581180893,0.975814578434666,1.02808036893466,10,"1"
"18","Cell-02",155.92,5,13.5,0.990622379221835,0.985833211625529,1.00485798970843,10,"1"
"19","Cell-03",176.9,5,15.45,0.999423735325025,0.982824427480916,1.01688939283556,10,"1"
"20","Cell-04",205.64,5,17.59,0.995488255910772,0.980490523968785,1.01529615184987,10,"1"
"21","Cell-01",135.74,6,11.53,0.996607979324826,0.968256634195499,1.02928081680833,12,"1"
"22","Cell-02",155.87,6,13.4,0.990304709141274,0.978530743391266,1.01203229007318,12,"1"
"23","Cell-03",175.72,6,15.42,0.992757143987073,0.980916030534351,1.01207148530978,12,"1"
"24","Cell-04",204.9,6,17.58,0.991905969831342,0.979933110367893,1.01221803747294,12,"1"
"25","Cell-01",134.47,7,11.5,0.987283593486146,0.96573731944911,1.02231069836809,14,"1"
"26","Cell-02",156.45,7,13.32,0.993989682075783,0.972688768803856,1.02189900197791,14,"1"
"27","Cell-03",175.9,7,15.35,0.993774081648795,0.9764631043257,1.01772824518039,14,"1"
"28","Cell-04",205.94,7,17.43,0.996940534051081,0.971571906354515,1.02611091112314,14,"1"
"29","Cell-01",134.47,8,11.61,0.987283593486146,0.974974806852536,1.01262472275909,16,"1"
"30","Cell-02",156.32,8,13.3,0.993163739866324,0.971228275157003,1.0225852822353,16,"1"
"31","Cell-03",176.05,8,15.39,0.994621529700229,0.979007633587786,1.01594869700374,16,"1"
"32","Cell-04",205.53,8,17.51,0.994955753925992,0.97603121516165,1.01938927615262,16,"1"
"33","Cell-01",134.39,9,11.65,0.98669623059867,0.978333893181055,1.00854752909605,18,"1"
"34","Cell-02",156.21,9,13.36,0.99246486568909,0.975609756097561,1.01727648733132,18,"1"
"35","Cell-03",176.56,9,15.37,0.997502853075106,0.977735368956743,1.02021762201306,18,"1"
"36","Cell-04",205.87,9,17.56,0.996601669151676,0.978818283166109,1.01816822007865,18,"1"
"37","Cell-01",134.45,10,11.57,0.987136752764276,0.971615720524018,1.01597445565402,20,"1"
"38","Cell-02",155.92,10,13.34,0.990622379221835,0.974149262450708,1.01691025945006,20,"1"
"39","Cell-03",176.5,10,15.39,0.997163873854533,0.979007633587786,1.01854555536019,20,"1"
